Conversation.json#dialog
测试物品获得|Test Items Acquired
SN17CH，可别说我没给过你机会。|SN17CH, don’t say I didn’t give you a chance.
末将该死，一时疏忽大意，没能拦下，让他们走了。|Damn it, I was careless for a moment and failed to stop them, so I let them go.
WO也有罪。|WO is also guilty.
唉，事到如今...|Alas, now...
现在我们该怎么办，要是在这个关头出兵追赶，恐怕会被别人耻笑啊...|What should we do now? If we send out troops to chase them at this juncture, we will probably be laughed at by others...
NI何必亲自动手，他如果返程南下，那必然会路过荆州刘表的地盘。|Why should NI do it himself? If he returns south, he will inevitably pass through Liu Biao's territory in Jingzhou.
主公为何不把玉玺的事告诉他，去让他们自相残杀，他们必会两败俱伤。|My lord, why don't you tell him about the imperial seal and let them kill each other? They will both suffer losses.
这主意倒是不错，他们若是相互牵制，我也能继续安心谋划冀州之事。|This is a good idea. If they can restrain each other, I can continue to plan the affairs of Jizhou with peace of mind.
此事一定要尽快安排。|This matter must be arranged as soon as possible.
主公，好消息。|My lord, good news.
终于有点好消息了，说来听听。|Finally there is some good news, let’s hear it.
刚刚带兵去平原的SN10MING，也有意图取冀州。|SN10MING, who had just led his troops to Pingyuan, also intended to take Jizhou.
这下我这又多了一个劲敌，这哪儿是好消息？！|Now I have another strong rival. How can this be good news? !
非也，这对咱们来说是个千载难逢的机会。|No, this is a once-in-a-lifetime opportunity for us.
仔细讲讲。|Explain in detail.
我们可以暗中派人送信给公孙瓒，让他配合我们夹攻，并对他声称事成之后共享冀州，他必会贪利兴兵。|We can secretly send someone to deliver a letter to Gongsun Zan, asking him to cooperate with us in the joint attack, and tell him that we will share Jizhou after the success. He will surely be greedy for profit and raise an army.
韩馥本就是无谋少略之辈，只要我们再对他保证抵挡公孙瓒，他定会请将军领冀州事。|Han Fu is a man without strategy and tactics. As long as we promise to resist Gongsun Zan, he will definitely ask the general to take charge of Jizhou affairs.
这叫做火中取栗之计，冀州唾手可得。|This is called a strategy of taking advantage of the fire, and Jizhou is within our grasp.
真是妙计！|What a great idea!
有你们这些智囊在，我怎愁天下不平。|With think tanks like you around, I don’t have to worry about injustice in the world.
快让人把纸笔拿来！|Get someone to bring paper and pen!
诸侯们心怀鬼胎，SN1MING又无能，压不住阵脚，时间长了必然再起争端，所以早点撤离才是上策啊。|The princes have ulterior motives, and SN1MING is incompetent and unable to control the situation. Disputes are bound to arise again over time, so the best strategy is to withdraw as soon as possible.
我看意在讨贼的，只有咱们几个和孙将军，其他人...|I think the only ones who want to fight against the enemy are us and General Sun, the others...
那个装模做样的SN1MING，WO真是看着就来气。|That pretentious SN1MING, WO really gets angry just looking at him.
大哥，SN1MING给咱们写了封信，你快看看。|Brother, SN1MING wrote us a letter, please take a look.
哦？SN1CH的信吗..|Oh? Is this SN1CH's letter?
这SN1MING又在打什么算盘...|What is SN1MING planning?
他竟想让我跟他一同去夺取冀州，再平分地盘儿...|He actually wanted me to join him in taking over Jizhou and then divide the territory equally...
NI不是一直想拿下冀州吗，现在机会来了。|Hasn't NI always wanted to take over Jizhou? Now the opportunity has come.
我可不觉得SN1MING会跟别人分享冀州，这很可能是他的阴谋，此事须慎重考虑。|I don’t think SN1MING will share Jizhou with others. This may very well be his conspiracy and this matter needs to be considered carefully.
不必担心，先在PLACE2NAME休整。|Don't worry, take a break at PLACE2NAME.
暂时不急着做决定，过几天再看看这SN1MING究竟在打什么算盘。|Don’t rush to make a decision. Wait a few days and see what SN1MING is planning.
用于重置手部动作|Used to reset hand movements
大哥！不好了！|Brother! It's bad!
出什么事了，慌慌张张的。|What happened? I'm in a panic.
不知SN1MING用的什么招儿，已经占住了冀州，那个SN7MING也不知所踪了！|I don’t know what tricks SN1MING used, but he has already occupied Jizhou, and SN7MING is nowhere to be found!
什么？！SN1MING这匹夫，竟敢耍我！|What?! How dare SN1MING, this bastard, play tricks on me!
大哥，他不是说好要跟咱们平分冀州吗？不会是想抵赖吧。|Brother, didn't he say that he would share Jizhou with us? He's not going to deny it.
这样，NI你现在就带着几人前往冀州，当面去质问他，看他怎么解释。|So, NI, you should take a few people to Jizhou now, question him in person and see how he explains.
唉，这下麻烦了...|Oh, this is trouble...
大人，出事了，出大事了！|Sir, something happened, something big happened!
令弟在回来途中遭到追杀，只有一个伙计逃了回来，其余人全部遇害！|Your brother was chased on his way back. Only one of his friends escaped, and the rest were all killed!
袁绍！！！！|Yuan Shao!!!!
主公...！|My Lord...!
SN10CH，振作点。|SN10CH, cheer up.
你这狗贼，我与你势不两立！|You bastard, I can never coexist with you!
去叫大伙儿做好准备，今日发兵冀州！|Go and tell everyone to get ready, we will send troops to Jizhou today!
眼下SN1MING吞并了冀州，此番征战只怕凶多吉少。|Now that SN1MING has annexed Jizhou, this battle is likely to be disastrous.
还是不要匆忙出击为好，再想想别的办法吧。|It is better not to act hastily and think of other ways.
SN14CH啊，如果是你的这两个兄弟被他杀害，你能坐的住吗？|SN14CH, if your two brothers were killed by him, would you be able to sit still?
大哥，就让公孙将军去吧。|Brother, let General Gongsun go.
SN14CH，我不在的日子里，PLACE2NAME就交给你了。|SN14CH, while I'm away, PLACE2NAME will be in your hands.
SN10CH你放心，等你回来后，WO定完好无损的还给你。|Don’t worry, SN10CH. When you come back, WO will return it to you intact.
SN1MING得知SN10MING发兵后，率军迎战。|After SN1MING learned that SN10MING had sent troops, he led his troops to fight.
大哥，公孙将军帮了咱们那么多次，现在他碰到了麻烦，咱也应该去出把力吧。|Brother, General Gongsun has helped us so many times. Now that he is in trouble, we should also lend a hand.
三弟说的不无道理...|What the third brother said makes sense...
我也想去助SN10CH一臂之力，可如果我们走了，PLACE2NAME百姓该怎么办。|I also want to lend a helping hand to SN10CH, but if we leave, what will happen to the people of PLACE2NAME?
现在中原一带风起云涌，诸侯怎么会对一个小小的平原有想法。|The Central Plains is in turmoil right now. How could the princes have any ideas about a small plain?
反倒是公孙将军如果出了事，只怕大哥追悔莫及啊。|On the contrary, if something happens to General Gongsun, I am afraid that my brother will regret it deeply.
SN15CH言之有理。|SN15CH has a point.
SN16CH去向士兵打听一下公孙将军的去向吧。|SN16CH Go ask the soldiers about the whereabouts of General Gongsun.
SN15CH和我整备兵马，准备出发。|SN15CH and I prepared our troops and were ready to set off.
这才是我大哥。|This is my elder brother.
信件送出后，公孙瓒果然答应了出兵冀州一事，韩馥也如SN3MING所料，邀请SN1MING前往冀州。|After the letter was sent, Gongsun Zan indeed agreed to send troops to Jizhou, and Han Fu, as SN3MING expected, invited SN1MING to go to Jizhou.
但韩馥这个决定遭到了手下SN8MING与SN9MING的强烈反对，二人一怒之下与三十余人弃官离开，埋伏在城外，等待袁绍到来。|However, Han Fu's decision was strongly opposed by his subordinates SN8MING and SN9MING. In anger, the two abandoned their posts and left with more than 30 men, lying in ambush outside the city, waiting for Yuan Shao to arrive.
全军听令，向冀州进发！|The entire army obeys orders and marches towards Jizhou!
几天后，袁绍领兵到达冀州城下，SN8MING、SN9MING拔刀而出，想要刺杀袁绍。|A few days later, Yuan Shao led his troops to the city of Jizhou. SN8MING and SN9MING drew their swords and wanted to assassinate Yuan Shao.
